"Latitud";"Longitud";"Nombre parada";"Ramal";"Sentido";"Orden";"Seccion"
-34.6284584;-58.5343730;Croacia y Bergamini;9434;Vuelta;1;15
-34.6279508;-58.5345072;San ignacio y Croacia;9434;Vuelta;2;15
-34.6271386;-58.5355800;San ignacio y G Roca;9434;Vuelta;3;15
-34.6284584;-58.5343730;Croacia y Bergamini;9432;Vuelta;1;15
-34.6284584;-58.5343730;Croacia y Bergamini;9433;Vuelta;1;15
-34.6279508;-58.5345072;San ignacio y Croacia;9433;Vuelta;2;15
-34.7179332;-58.2120091;Cervantes y Echeverría;9433;Ida;1;1
-34.6265118;-58.5364598;San ignacio y Pelegrini;9434;Vuelta;4;15
-34.6284584;-58.5343730;Croacia y Bergamini;9435;Vuelta;1;15
-34.6279508;-58.5345072;San ignacio y Croacia;9435;Vuelta;2;15
-34.6271386;-58.5355800;San ignacio y G Roca;9435;Vuelta;3;15
-34.6252449;-58.5355693;Pelegrini y Necochea;9434;Vuelta;5;15
-34.6240000;-58.5341477;Pelegrini y Dardo Rocha;9434;Vuelta;6;15
-34.6226360;-58.5326350;Pelegrini y R A Siria;9434;Vuelta;7;15
-34.6216030;-58.5336220;Rep A Siria y San Roque;9434;Vuelta;8;15
-34.6207775;-58.5329998;San Roque y Los Andes;9434;Vuelta;9;15
-34.6192809;-58.5314494;San Roque Y Gral Paz;9434;Vuelta;10;15
-34.6179875;-58.5301888;Beiró y Irigoyen;9434;Vuelta;11;15
-34.6138287;-58.5248297;Beiró y Lopez de Vega;9434;Vuelta;12;15
-34.6110031;-58.5202163;Beiró y Bermudez;9434;Vuelta;13;15
-34.6075814;-58.5145140;Beiró y Marcos Paz;9434;Vuelta;14;15
-34.6062435;-58.5132855;Segurola y Navarro;9434;Vuelta;15;15
-34.6046054;-58.5136288;Cantilo y Sanabria;9434;Vuelta;16;14
-34.6036296;-58.5120088;Cantilo y Gualeguaychu;9434;Vuelta;17;14
-34.6048262;-58.5106087;Gualeguaychu y Beiró;9434;Vuelta;18;14
-34.6072679;-58.5120517;Segurola y Varela;9434;Vuelta;19;14
-34.6098993;-58.5098523;Segurola y Pedro Lozano;9434;Vuelta;20;14
-34.6121775;-58.5080069;Segurola y Nogoya;9434;Vuelta;21;14
-34.6150163;-58.5053462;Segurola y Santo tomé;9434;Vuelta;22;14
-34.6177535;-58.5026479;Segurola y Alvarez Jonte;9434;Vuelta;23;14
-34.6195591;-58.5005558;Segurola y Miranda;9434;Vuelta;24;14
-34.6204287;-58.4993809;Segurola y E Gonzalez;9434;Vuelta;25;14
-34.6216118;-58.4979218;Segurola y Pablo Podestá;9434;Vuelta;26;14
-34.7128402;-58.2197982;Cervantes y 25 bis;9433;Ida;2;1
-34.7116275;-58.2216114;Cervantes y 23 bis;9433;Ida;3;1
-34.7102782;-58.2234889;Cervantes y Iriarte (Pejerrey);9433;Ida;4;1
-34.7093080;-58.2249695;Cervantes y Alamos;9433;Ida;5;1
-34.7080115;-58.2271153;Cervantes y Olavarría;9433;Ida;6;1
-34.7071957;-58.2308865;Otamendi y Cervantes;9433;Ida;7;2
-34.7085070;-58.2334830;Otamendi y Yoldi;9433;Ida;8;2
-34.7092270;-58.2347350;Otamendi y Juan B Justo;9433;Ida;9;2
-34.7102120;-58.2364601;Otamendi y Panizza;9433;Ida;10;2
-34.7113189;-58.2383162;Otamendi y Brussa;9433;Ida;11;2
-34.7129019;-58.2410896;Otamendi y Toledo;9433;Ida;12;2
-34.7139514;-58.2427847;Otamendi y Lora;9433;Ida;13;2
-34.7149788;-58.2445496;Otamendi y Mozart;9433;Ida;14;2
-34.7160283;-58.2463306;Otamendi y Monrroe;9433;Ida;15;2
-34.7173026;-58.2474250;Ceballos y Otamendi;9433;Ida;16;2
-34.7194550;-58.2500350;Alem y Belgrano;9433;Ida;17;2
-34.7204250;-58.2519620;Alem y Paz;9433;Ida;18;2
-34.7213680;-58.2538650;Alem y Mitre;9433;Ida;19;3
-34.7223170;-58.2557270;Alem y Brown;9433;Ida;20;3
-34.7233200;-58.2576070;Alem y Moreno;9433;Ida;21;3
-34.7240928;-58.2592857;Alem y H Yrigoyen;9433;Ida;22;3
-34.7232904;-58.2602835;Yrigoyen y Alsina;9433;Ida;23;3
-34.7217340;-58.2614529;Yrigoyen y 9 de Julio;9433;Ida;24;3
-34.7207820;-58.2622130;Yrigoyen y Colon;9433;Ida;25;3
-34.7190223;-58.2634753;Yrigoyen y Alberdi;9433;Ida;26;3
-34.7197057;-58.2657820;Gran Canaria y P Oliveri;9433;Ida;27;3
-34.7206890;-58.2650256;Gran Canaria y R Lopez;9433;Ida;28;3
-34.7216750;-58.2665870;R Lopez y V Lopez;9433;Ida;29;3
-34.7226570;-58.2685150;R Lopez y B Irigoyen;9433;Ida;30;3
-34.7235850;-58.2703480;R Lopez y A Baranda;9433;Ida;31;3
-34.7244808;-58.2724124;R Lopez y Larrea;9433;Ida;32;3
-34.7254199;-58.2744133;R Lopez y Urquiza;9433;Ida;33;3
-34.7264649;-58.2763016;R Lopez y Blas Parera;9433;Ida;34;3
-34.7274833;-58.2783186;R Lopez y M Rodriguez;9433;Ida;35;3
-34.7285282;-58.2804000;R Lopez y Condarco;9433;Ida;36;3
-34.7295863;-58.2824063;Rodolfo Lopez y Av La Plata;9433;Ida;37;4
-34.7306709;-58.2846648;R Lopez y Marconi;9433;Ida;38;4
-34.7316143;-58.2866389;R Lopez y J V Gonzales;9433;Ida;39;4
-34.7325754;-58.2886827;R Lopez y L de La Torre;9433;Ida;40;4
-34.7335585;-58.2907802;R Lopez y Acha;9433;Ida;41;4
-34.7350442;-58.2937253;Rodolfo Lopez y Unamundo;9433;Ida;42;4
-34.7334836;-58.2963538;Av Calchaquí y San Luis;9433;Ida;43;4
-34.7324475;-58.2970405;Av Calchaquí y Rep del Libano;9433;Ida;44;4
-34.7300801;-58.2987410;Av Calchaquí y Jujuy;9433;Ida;45;4
-34.7245514;-58.3022976;Av Los Quilmes y Zapiola;9433;Ida;46;4
-34.7203892;-58.3035421;Av Los Quilmes y Cerrito;9433;Ida;47;4
-34.7165883;-58.3046794;Av Los Quilmes y Montevideo;9433;Ida;48;5
-34.7130342;-58.3081609;Av Los Quilmes y Los Andes;9433;Ida;49;5
-34.7088273;-58.3122647;Av Mitre y Neuquen;9433;Ida;50;5
-34.7078042;-58.3131981;Av Mitre y Caviglia;9433;Ida;51;5
-34.7059035;-58.3151990;Av Mitre y R Español;9433;Ida;52;5
-34.7032266;-58.3160681;Mariano Moreno y Las Flores;9433;Ida;53;5
-34.7028253;-58.3185410;Martin Fierro y Mitre;9433;Ida;54;5
-34.7039322;-58.3178759;Mitre y Onsari;9433;Ida;55;5
-34.7048143;-58.3184499;Onsari y Brandsen;9433;Ida;56;5
-34.7057845;-58.3195657;Onsari y Belgrano;9433;Ida;57;5
-34.7077822;-58.3219206;Onsari y Solier;9433;Ida;58;5
-34.7094227;-58.3238465;Onsari y Villegas;9433;Ida;59;5
-34.6230200;-58.4961301;Segurola y Camarones;9434;Vuelta;27;14
-34.6238544;-58.4950626;Segurola y M Cervantes;9434;Vuelta;28;14
-34.6255539;-58.4929329;Segurola y R Escalada SM;9434;Vuelta;29;14
-34.6266751;-58.4915435;Segurola y Juan B Justo;9434;Vuelta;30;13
-34.6275226;-58.4904063;Segurola y Gaona;9434;Vuelta;31;13
-34.6291073;-58.4884483;Segurola y Aranguren;9434;Vuelta;32;13
-34.6318882;-58.4850097;Segurola y Bacacay;9434;Vuelta;33;13
