Ramal;Sentido;Nombre parada;Latitud;Longitud;Seccion;Orden
213;Ida;Cervantes y Echeverría;-34.7179376;-58.2119823;1;1
213;Ida;Cervantes y Franklin;-34.7139426;-58.2181513;1;2
213;Ida;Cervantes y 25 bis;-34.7126418;-58.2200986;1;3
213;Ida;Cervantes y 23 bis;-34.7115261;-58.2217669;1;4
213;Ida;Cervantes y Iriarte (Pejerrey);-34.7102737;-58.2235157;1;5
213;Ida;Cervantes y Alamos;-34.7092419;-58.2250339;1;6
213;Ida;Cervantes y Olavarría;-34.7080380;-58.2270402;1;7
213;Ida;Otamendi y Cervantes;-34.7071383;-58.2308811;1;8
213;Ida;Otamendi y Yoldi;-34.7085070;-58.2334830;1;9
213;Ida;Otamendi y Juan B Justo;-34.7092270;-58.2347350;1;10
213;Ida;Otamendi y Panizza;-34.7102120;-58.2364601;1;11
213;Ida;Otamendi y Brussa;-34.7113189;-58.2383162;1;12
213;Ida;Otamendi y Toledo;-34.7129019;-58.2410896;1;13
213;Ida;Otamendi y Lora;-34.7139514;-58.2427847;1;14
213;Ida;Otamendi y Mozart;-34.7149788;-58.2445496;1;15
213;Ida;Otamendi y Monrroe;-34.7160283;-58.2463306;1;16
213;Ida;Ceballos y Otamendi;-34.7173026;-58.2474250;1;17
213;Ida;Alem y Belgrano;-34.7194550;-58.2500350;1;18
213;Ida;Alem y Paz;-34.7204250;-58.2519620;1;19
213;Ida;Alem y Mitre;-34.7213680;-58.2538650;1;20
213;Ida;Alem y Brown;-34.7223170;-58.2557270;1;21
213;Ida;Alem y Moreno;-34.7233200;-58.2576070;1;22
213;Ida;Alem y H Yrigoyen;-34.7240928;-58.2592857;1;23
213;Ida;Yrigoyen y Alsina;-34.7232904;-58.2602835;1;24
213;Ida;Yrigoyen y 9 de Julio;-34.7217340;-58.2614529;1;25
213;Ida;Yrigoyen y Colon;-34.7207820;-58.2622130;1;26
213;Ida;Yrigoyen y Alberdi;-34.7190223;-58.2634753;1;27
213;Ida;Gran Canaria y P Oliveri;-34.7194368;-58.2659429;1;28
213;Ida;Gran Canaria y R Lopez;-34.7206890;-58.2650256;1;29
213;Ida;R Lopez y V Lopez;-34.7216750;-58.2665870;1;30
213;Ida;R Lopez y B Irigoyen;-34.7226570;-58.2685150;1;31
213;Ida;R Lopez y A Baranda;-34.7235850;-58.2703480;1;32
213;Ida;A Baranda y San Luis;-34.7221308;-58.2716131;1;33
213;Ida;A Baranda y Rep Libano;-34.7204156;-58.2728630;1;34
213;Ida;A Baranda y La Rioja;-34.7187130;-58.2740420;1;35
213;Ida;A Baranda y Lamadrid;-34.7169950;-58.2751920;1;36
213;Ida;Belgrano y Boedo;-34.7151100;-58.2766050;1;37
213;Ida;Belgrano y Zapiola;-34.7136600;-58.2777200;1;38
213;Ida;Zapiola y San Martin;-34.7122493;-58.2755613;1;39
213;Ida;San Martin y Don Bosco;-34.7108294;-58.2773960;1;40
213;Ida;San Martín y 9 de Julio;-34.7097887;-58.2798529;1;41
213;Ida;San Martín y LN Alem;-34.7075529;-58.2854962;1;42
213;Ida;San Martín y Cerrito;-34.7066312;-58.2875562;1;43
213;Ida;San Martín y Montevideo;-34.7050524;-58.2908070;1;44
213;Ida;San Martín y Formosa;-34.7038749;-58.2948947;1;45
213;Ida;San Martin y Chaco;-34.7035309;-58.2961446;1;46
